"","component","grpvar","term","grp","condval","condsd"
"cond.141","cond","variable:Microbe_treatment","(Intercept)","ASV0051:EMO",0.607195870306606,1.19227000981405
"cond.142","cond","variable:Microbe_treatment","(Intercept)","ASV0051:MEM",0.503735708391112,1.19155060508571
"cond.143","cond","variable:Microbe_treatment","(Intercept)","ASV0051:MMO",1.21545600461453,1.32201808447693
"cond.144","cond","variable:Microbe_treatment","(Intercept)","ASV0054:EMO",-2.76293987629431,1.34941066371257
"cond.145","cond","variable:Microbe_treatment","(Intercept)","ASV0054:MEM",-1.51427090828486,1.26334279113946
"cond.146","cond","variable:Microbe_treatment","(Intercept)","ASV0054:MMO",4.64181973564009,1.26550523868359
"cond.147","cond","variable:Microbe_treatment","(Intercept)","ASV0057:EMO",-3.90148247696841,1.37836694423979
"cond.148","cond","variable:Microbe_treatment","(Intercept)","ASV0057:MEM",-0.637756510431238,1.24505331711907
"cond.149","cond","variable:Microbe_treatment","(Intercept)","ASV0057:MMO",3.87473417787117,1.28503518086877
"cond.150","cond","variable:Microbe_treatment","(Intercept)","ASV0059:EMO",0.833652172660539,1.27063688601505
"cond.151","cond","variable:Microbe_treatment","(Intercept)","ASV0059:MEM",0.0781733961560516,1.27376868304977
"cond.152","cond","variable:Microbe_treatment","(Intercept)","ASV0059:MMO",-0.725737471326348,1.90732906582653
"cond.153","cond","variable:Microbe_treatment","(Intercept)","ASV0063:EMO",1.18050747077352,1.25454134602593
"cond.154","cond","variable:Microbe_treatment","(Intercept)","ASV0063:MEM",0.177689085144924,1.26054058240558
"cond.155","cond","variable:Microbe_treatment","(Intercept)","ASV0063:MMO",-0.857147841611952,1.85829173933421
"cond.156","cond","variable:Microbe_treatment","(Intercept)","ASV0065:EMO",-0.543573363356274,1.26579407052371
"cond.157","cond","variable:Microbe_treatment","(Intercept)","ASV0065:MEM",-1.3050587655655,1.28774001920086
"cond.158","cond","variable:Microbe_treatment","(Intercept)","ASV0065:MMO",0.818391514529009,1.47305869634884
"cond.159","cond","variable:Microbe_treatment","(Intercept)","ASV0066:EMO",0.533990602308483,1.32417949685497
"cond.160","cond","variable:Microbe_treatment","(Intercept)","ASV0066:MEM",-0.0915525983054151,1.33726352619443
"cond.161","cond","variable:Microbe_treatment","(Intercept)","ASV0066:MMO",-0.331596269889364,2.09840354915821
"cond.162","cond","variable:Microbe_treatment","(Intercept)","ASV0069:EMO",-0.244542507955418,1.26279132718928
"cond.163","cond","variable:Microbe_treatment","(Intercept)","ASV0069:MEM",0.225137069617304,1.25692712147148
"cond.164","cond","variable:Microbe_treatment","(Intercept)","ASV0069:MMO",-1.91755872074971,1.66254023624289
"cond.165","cond","variable:Microbe_treatment","(Intercept)","ASV0072:EMO",-0.0726308922173308,1.26724610062422
"cond.166","cond","variable:Microbe_treatment","(Intercept)","ASV0072:MEM",-0.240427417051048,1.26807310219379
"cond.167","cond","variable:Microbe_treatment","(Intercept)","ASV0072:MMO",-1.6634660147469,1.6959450901894
"cond.168","cond","variable:Microbe_treatment","(Intercept)","ASV0073:EMO",0.589859753839671,1.34854607608643
"cond.169","cond","variable:Microbe_treatment","(Intercept)","ASV0073:MEM",0.239599175440256,1.35001597687287
"cond.170","cond","variable:Microbe_treatment","(Intercept)","ASV0073:MMO",-0.231177155118405,2.16812178874225
"cond.171","cond","variable:Microbe_treatment","(Intercept)","ASV0079:EMO",-3.98928065039198,1.51605008086743
"cond.172","cond","variable:Microbe_treatment","(Intercept)","ASV0079:MEM",-1.86704567177781,1.3133761866424
"cond.173","cond","variable:Microbe_treatment","(Intercept)","ASV0079:MMO",4.14058729251322,1.30138778669758
"cond.174","cond","variable:Microbe_treatment","(Intercept)","ASV0080:EMO",0.691718932853248,1.31098779561071
"cond.175","cond","variable:Microbe_treatment","(Intercept)","ASV0080:MEM",0.363297378536853,1.31925234342156
"cond.176","cond","variable:Microbe_treatment","(Intercept)","ASV0080:MMO",-0.326961373609785,2.10061120119391
"cond.177","cond","variable:Microbe_treatment","(Intercept)","ASV0082:EMO",0.982566001298374,1.28836885541025
"cond.178","cond","variable:Microbe_treatment","(Intercept)","ASV0082:MEM",-0.007001576490649,1.30358911248064
"cond.179","cond","variable:Microbe_treatment","(Intercept)","ASV0082:MMO",-0.438789581183768,2.03346612293048
"cond.180","cond","variable:Microbe_treatment","(Intercept)","ASV0084:EMO",-0.557558017797965,1.24638543956432
"cond.181","cond","variable:Microbe_treatment","(Intercept)","ASV0084:MEM",-2.43213553047808,1.30372729074302
"cond.182","cond","variable:Microbe_treatment","(Intercept)","ASV0084:MMO",2.62284286791285,1.32326887822671
"cond.183","cond","variable:Microbe_treatment","(Intercept)","ASV0085:EMO",1.11125435151379,1.24403812365612
"cond.184","cond","variable:Microbe_treatment","(Intercept)","ASV0085:MEM",0.831597541138363,1.2441745080315
"cond.185","cond","variable:Microbe_treatment","(Intercept)","ASV0085:MMO",-0.966209352806959,1.81831594349966
"cond.186","cond","variable:Microbe_treatment","(Intercept)","ASV0089:EMO",0.19841408870239,1.30935481263516
"cond.187","cond","variable:Microbe_treatment","(Intercept)","ASV0089:MEM",-0.653264291502444,1.33211421468313
"cond.188","cond","variable:Microbe_treatment","(Intercept)","ASV0089:MMO",-0.790556235550637,1.88959167032493
"cond.189","cond","variable:Microbe_treatment","(Intercept)","ASV0091:EMO",0.506867059120093,1.33621189484396
"cond.190","cond","variable:Microbe_treatment","(Intercept)","ASV0091:MEM",-1.55906739900853,1.42274767411654
"cond.191","cond","variable:Microbe_treatment","(Intercept)","ASV0091:MMO",-0.489199258673373,2.0132367823852
"cond.192","cond","variable:Microbe_treatment","(Intercept)","ASV0093:EMO",-0.306475407179663,1.27497262235223
"cond.193","cond","variable:Microbe_treatment","(Intercept)","ASV0093:MEM",-0.36644682725609,1.27452720960138
"cond.194","cond","variable:Microbe_treatment","(Intercept)","ASV0093:MMO",-1.52323138800554,1.71693545135676
"cond.195","cond","variable:Microbe_treatment","(Intercept)","ASV0094:EMO",0.168165925100046,1.27270148713128
"cond.196","cond","variable:Microbe_treatment","(Intercept)","ASV0094:MEM",0.0666691518273642,1.27310812285094
"cond.197","cond","variable:Microbe_treatment","(Intercept)","ASV0094:MMO",-1.17002639789042,1.78614213586535
"cond.198","cond","variable:Microbe_treatment","(Intercept)","ASV0095:EMO",0.604299833495496,1.30987744611668
"cond.199","cond","variable:Microbe_treatment","(Intercept)","ASV0095:MEM",-0.863985264225607,1.35288283516507
"cond.200","cond","variable:Microbe_treatment","(Intercept)","ASV0095:MMO",-0.70713534325085,1.91898898016103
"cond.201","cond","variable:Microbe_treatment","(Intercept)","ASV0101:EMO",0.0690617350134009,1.36503120207243
