Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Notes,Raw_reads
LB11,L_D8_B_EMO.4,Larvae,5,6/30/23,8,B_EMO.4,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,22627
LB12,L_D8_B_EMO.5,Larvae,5,6/30/23,8,B_EMO.5,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,15378
LB1,L_D8_B_larvae,Larvae,5,6/30/23,8,B_larvae,B_larvae,None_larvae,Bamboo,Additional control,Larvae & food only,,57253
LB18,L_D8_B_MEM.1,Larvae,5,6/30/23,8,B_MEM.1,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,64329
LB19,L_D8_B_MEM.2,Larvae,5,6/30/23,8,B_MEM.2,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,46890
LB20,L_D8_B_MEM.3,Larvae,5,6/30/23,8,B_MEM.3,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,46052
LB21,L_D8_B_MEM.4,Larvae,5,6/30/23,8,B_MEM.4,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,54131
LB22,L_D8_B_MEM.5,Larvae,5,6/30/23,8,B_MEM.5,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,69479
LB3,L_D8_B_MMO.1,Larvae,5,6/30/23,8,B_MMO.1,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,69866
LB4,L_D8_B_MMO.2,Larvae,5,6/30/23,8,B_MMO.2,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,55250
LB5,L_D8_B_MMO.3,Larvae,5,6/30/23,8,B_MMO.3,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,62607
LB6,L_D8_B_MMO.4,Larvae,5,6/30/23,8,B_MMO.4,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,79263
LB7,L_D8_B_MMO.5,Larvae,5,6/30/23,8,B_MMO.5,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,83117
LL2,L_D8_L_AHK.1,Larvae,5,6/30/23,8,L_AHK.1,L_AHK,AHK,Larval food,Experiment,All heat-killed microbes,,51522
LL23,L_D8_L_ALL.1,Larvae,5,6/30/23,8,L_ALL.1,L_ALL,ALL,Larval food,Experiment,All live microbes,,55042
LL24,L_D8_L_ALL.2,Larvae,5,6/30/23,8,L_ALL.2,L_ALL,ALL,Larval food,Experiment,All live microbes,,52771
LL25,L_D8_L_ALL.3,Larvae,5,6/30/23,8,L_ALL.3,L_ALL,ALL,Larval food,Experiment,All live microbes,,66477
LL26,L_D8_L_ALL.4,Larvae,5,6/30/23,8,L_ALL.4,L_ALL,ALL,Larval food,Experiment,All live microbes,,97749
LL27,L_D8_L_ALL.5,Larvae,5,6/30/23,8,L_ALL.5,L_ALL,ALL,Larval food,Experiment,All live microbes,,99386
LL13,L_D8_L_ECO.1,Larvae,5,6/30/23,8,L_ECO.1,L_ECO,ECO,Larval food,Experiment,E. coli only,,51457
LL14,L_D8_L_ECO.2,Larvae,5,6/30/23,8,L_ECO.2,L_ECO,ECO,Larval food,Experiment,E. coli only,,90315
LL15,L_D8_L_ECO.3,Larvae,5,6/30/23,8,L_ECO.3,L_ECO,ECO,Larval food,Experiment,E. coli only,,83512
LL16,L_D8_L_ECO.4,Larvae,5,6/30/23,8,L_ECO.4,L_ECO,ECO,Larval food,Experiment,E. coli only,,60309
LL17,L_D8_L_ECO.5,Larvae,5,6/30/23,8,L_ECO.5,L_ECO,ECO,Larval food,Experiment,E. coli only,,54799
LL8,L_D8_L_EMO.1,Larvae,5,6/30/23,8,L_EMO.1,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,101732
LL9,L_D8_L_EMO.2,Larvae,5,6/30/23,8,L_EMO.2,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,111660
LL10,L_D8_L_EMO.3,Larvae,5,6/30/23,8,L_EMO.3,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,55881
LL11,L_D8_L_EMO.4,Larvae,5,6/30/23,8,L_EMO.4,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,59663
LL12,L_D8_L_EMO.5,Larvae,5,6/30/23,8,L_EMO.5,L_EMO,EMO,Larval food,Experiment,Environmental microbes only,,39221
LL1,L_D8_L_larvae,Larvae,5,6/30/23,8,L_larvae,L_larvae,None_larvae,Larval food,Additional control,Larvae & food only,,29615
LL18,L_D8_L_MEM.1,Larvae,5,6/30/23,8,L_MEM.1,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,87019
LL19,L_D8_L_MEM.2,Larvae,4,6/30/23,8,L_MEM.2,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,91113
LL20,L_D8_L_MEM.3,Larvae,5,6/30/23,8,L_MEM.3,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,54597
LL21,L_D8_L_MEM.4,Larvae,2,6/30/23,8,L_MEM.4,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,54577
LL22,L_D8_L_MEM.5,Larvae,5,6/30/23,8,L_MEM.5,L_MEM,MEM,Larval food,Experiment,Mosquito & environmental microbes,,50438
LL3,L_D8_L_MMO.1,Larvae,5,6/30/23,8,L_MMO.1,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,101981
LL4,L_D8_L_MMO.2,Larvae,5,6/30/23,8,L_MMO.2,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,83175
LL5,L_D8_L_MMO.3,Larvae,5,6/30/23,8,L_MMO.3,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,44031
LL6,L_D8_L_MMO.4,Larvae,5,6/30/23,8,L_MMO.4,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,90456
LL7,L_D8_L_MMO.5,Larvae,5,6/30/23,8,L_MMO.5,L_MMO,MMO,Larval food,Experiment,Mosquito microbes only,,47330
WB40,W_D20_B_AHK.1,Water,,7/12/23,20,B_AHK.1,B_AHK,AHK,Bamboo,Experiment,All heat-killed microbes,,45843
WB39,W_D20_B_AHK+,Water,,7/12/23,20,B_AHK+,B_AHK+,AHK,Bamboo,Additional control,No larvae - all heat-killed microbes,,61698
WB65,W_D20_B_ALL.1,Water,,7/12/23,20,B_ALL.1,B_ALL,ALL,Bamboo,Experiment,All live microbes,,164239
WB66,W_D20_B_ALL.2,Water,,7/12/23,20,B_ALL.2,B_ALL,ALL,Bamboo,Experiment,All live microbes,,134307
WB67,W_D20_B_ALL.3,Water,,7/12/23,20,B_ALL.3,B_ALL,ALL,Bamboo,Experiment,All live microbes,,119012
WB68,W_D20_B_ALL.4,Water,,7/12/23,20,B_ALL.4,B_ALL,ALL,Bamboo,Experiment,All live microbes,,123522
WB69,W_D20_B_ALL.5,Water,,7/12/23,20,B_ALL.5,B_ALL,ALL,Bamboo,Experiment,All live microbes,,142364
WB70,W_D20_B_ALL+,Water,,7/12/23,20,B_ALL+,B_ALL+,ALL,Bamboo,Additional control,No larvae - all live microbes,,170574
WB53,W_D20_B_ECO.1,Water,,7/12/23,20,B_ECO.1,B_ECO,ECO,Bamboo,Experiment,E. coli only,,70965
WB54,W_D20_B_ECO.2,Water,,7/12/23,20,B_ECO.2,B_ECO,ECO,Bamboo,Experiment,E. coli only,,71826
WB55,W_D20_B_ECO.3,Water,,7/12/23,20,B_ECO.3,B_ECO,ECO,Bamboo,Experiment,E. coli only,,104622
WB56,W_D20_B_ECO.4,Water,,7/12/23,20,B_ECO.4,B_ECO,ECO,Bamboo,Experiment,E. coli only,,143682
WB57,W_D20_B_ECO.5,Water,,7/12/23,20,B_ECO.5,B_ECO,ECO,Bamboo,Experiment,E. coli only,,102762
WB58,W_D20_B_ECO+,Water,,7/12/23,20,B_ECO+,B_ECO+,ECO,Bamboo,Additional control,No larvae - E. coli,,101372
WB47,W_D20_B_EMO.1,Water,,7/12/23,20,B_EMO.1,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,114290
WB48,W_D20_B_EMO.2,Water,,7/12/23,20,B_EMO.2,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,134593
WB49,W_D20_B_EMO.3,Water,,7/12/23,20,B_EMO.3,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,91941
WB50,W_D20_B_EMO.4,Water,,7/12/23,20,B_EMO.4,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,151644
WB51,W_D20_B_EMO.5,Water,,7/12/23,20,B_EMO.5,B_EMO,EMO,Bamboo,Experiment,Environmental microbes only,,90710
WB52,W_D20_B_EMO+,Water,,7/12/23,20,B_EMO+,B_EMO+,EMO,Bamboo,Additional control,No larvae - environmental microbes,,136381
WB38,W_D20_B_food,Water,,7/12/23,20,B_food,B_food,None_food,Bamboo,Additional control,Food only,,91154
WB37,W_D20_B_larvae,Water,,7/12/23,20,B_larvae,B_larvae,None_larvae,Bamboo,Additional control,Larvae & food only,,70004
WB59,W_D20_B_MEM.1,Water,,7/12/23,20,B_MEM.1,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,66999
WB60,W_D20_B_MEM.2,Water,,7/12/23,20,B_MEM.2,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,128894
WB61,W_D20_B_MEM.3,Water,,7/12/23,20,B_MEM.3,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,121032
WB62,W_D20_B_MEM.4,Water,,7/12/23,20,B_MEM.4,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,164334
WB63,W_D20_B_MEM.5,Water,,7/12/23,20,B_MEM.5,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,,104178
WB64,W_D20_B_MEM+,Water,,7/12/23,20,B_MEM+,B_MEM+,MEM,Bamboo,Additional control,No larvae - mosquito & environmental microbes,,117541
WB41,W_D20_B_MMO.1,Water,,7/12/23,20,B_MMO.1,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,90585
WB42,W_D20_B_MMO.2,Water,,7/12/23,20,B_MMO.2,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,142302
WB43,W_D20_B_MMO.3,Water,,7/12/23,20,B_MMO.3,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,142075
WB44,W_D20_B_MMO.4,Water,,7/12/23,20,B_MMO.4,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,141822
WB45,W_D20_B_MMO.5,Water,,7/12/23,20,B_MMO.5,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,,120582
WB46,W_D20_B_MMO+,Water,,7/12/23,20,B_MMO+,B_MMO+,MMO,Bamboo,Additional control,No larvae - mosquito microbes,,136799
N1,N_Negative1,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,481
N2,N_Negative2,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,1292
N3,N_Negative3,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,1244
N4,N_Negative4,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,3175
N5,N_Negative5,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,1350
N6,N_Negative6,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,1270
PCR-NEG-1,N_PCR_Negative1,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,419
PCR-NEG-2,N_PCR_Negative2,Negative,,,,Negative,Negative,Negative,Negative,Negative,Negative,,2368
PCR-POS-1,P_PCR_Positive1,Positive,,,,Positive,Positive,Positive,Positive,Positive,Positive,,267070
PCR-POS-2,P_PCR_Positive2,Positive,,,,Positive,Positive,Positive,Positive,Positive,Positive,,193237
