"","ASV0004","ASV0007","ASV0009","ASV0010","ASV0012","ASV0016","ASV0017","ASV0022","ASV0025","ASV0051","ASV0059","ASV0063","ASV0066","ASV0069","ASV0072","ASV0093","ASV0095","ASV0102","ASV0105","ASV0111","ASV0116","ASV0117","ASV0123","ASV0146","ASV0155","ASV0162","ASV0167","ASV0175","ASV0179","ASV0180","ASV0218","ASV0238","ASV0239","ASV0277","ASV0278","ASV0281","ASV0282","ASV0286","ASV0311","ASV0322","ASV0333","ASV0338","ASV0368","ASV0383","ASV0386","ASV0398","ASV0412","ASV0432","ASV0433","ASV0436","ASV0466","ASV0474","ASV0521","ASV0527","ASV0528","ASV0534","ASV0545","ASV0578","ASV0580","ASV0583","ASV0613","ASV0634","ASV0665","ASV0752","ASV0786","ASV0868","ASV0938"
"PCR-POS-2",0,0,0,0,0,0.186648475724501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB10",0,0.0978815049226442,0.0548786919831224,0,0.104746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB11",0,0.170963875449479,0.0321437632875178,0,0,0,0.00195977217648448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB12",0,0.0757491455369207,0.125963754868452,0,0.163182576901677,0,0,0,0,0,0,0,0,0,0,0,0,0.00737222796280105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB13",0.2763407460348,0.00238461749910663,0.0106654938288573,0.070184721954974,0.0300448060694357,0.0274815140603095,0.00470051403282113,0.0075043294208197,0.0123147969982682,0.00266637345721433,0.00537397949366393,0.0084045740674565,0,0.00458368839165453,0.0035528739107727,0.00142939608015613,0.0121155061986311,0,0.00142939608015613,0.00199978009291075,0.0018073613898128,0.00228840814755766,0.00145001236977377,0.00104455867396025,0,0,0,0,0,0.00138816350092086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB14",0.167520450798021,0.00275345382361887,0.0135671634623081,0.0360190180415259,0.0709574655418061,0.0361871067923864,0.0076520402772664,0.0178894456272912,0.0251652872716794,0.00515472169305393,0,0.0112459378551875,0.00330574543358893,0.00525877663406279,0.00552291609970064,0.00456240895192662,0.0144556325739991,0,0,0.00219315798741736,0.0057710471128756,0.00348183841068084,0.0018809931643908,0.00144876494789249,0,0,0,0,0,0.00171290441353034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119262970848608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB15",0.171188602084341,0.00285827360274394,0.0168528208961787,0.0478980695659821,0.0239985049030386,0.0373004705158085,0.012191636251704,0.0335847148322413,0.0106305791302054,0.00203377160195242,0.00116529616111868,0.00426542368409481,0.00771733872740865,0.0046941647245064,0.00563959368541401,0.00363880216349325,0.00507893232487578,0,0.00103337584099204,0.00181390440174135,0,0,0.00311112088298668,0,0,0,0,0.00202277824194187,0,0.00270436656259619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB16",0.136678494498717,0.00218084963756782,0.0078921730736573,0.0330613229891941,0.065926011994673,0.041936665981427,0.00484434632607277,0.0262416989176193,0.0147028592368814,0.00202890519560612,0.00420975483317394,0.00990320245256205,0.00305676465593522,0.00638166656239107,0.00640848028744313,0.00198421565385269,0.0148458657704924,0,0,0.00156413396137036,0.00864295737511508,0.00629228747888419,0.00141218951940867,0.00134962416095385,0,0,0,0,0,0.00112617645218666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107254900208253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB17",0.222889349745785,0.00185643564356436,0.0278465346534653,0.0447886004816698,0.0114814690928552,0.0293350280974043,0.00706616269735082,0.0266256355365266,0.0173267326732673,0.0029518999197217,0,0.0127943537597003,0.00811981535991437,0.00919019266791544,0.00592052448488092,0.00412262510034787,0.00461600214075462,0,0,0.00179789938453305,0,0,0,0,0,0,0,0.00277629114262778,0,0.00231636339309607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB18",0.199198134189298,0.0153460525841238,0.0403577740108919,0.0423594330436037,0.0437599932676933,0.0646842427958308,0,0.0959954797369592,0.0140116132289826,0.00959353698560969,0.00317981269761123,0.0161455139995913,0.00374484557771606,0.0118656904822015,0.00622137266923937,0.0024765270915233,0.00160493381902117,0,0.00215794472295356,0.00220002163955711,0.00616727377646338,0.00583065844363496,0,0.02142917252738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB25",0.27986273509596,0.00176218457889751,0.0173966041510709,0.0552769478433113,0.00376948505786723,0.0356610510834785,0.00476319816626808,0.00834719011056714,0.00780396027797468,0.00255053031156218,0,0.00470357537976403,0.00157669146532935,0.0106791035382811,0.00639951241810148,0.00172906080861748,0,0,0,0.00129845179497711,0,0,0.00139119835176119,0,0,0,0,0.00118583097602502,0,0.00174231031672949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB26",0.245327118143321,0.00273118208974822,0.0314282900567902,0.0323671339001412,0.0262548009060171,0.029196073925746,0.00617142106818107,0.0125004103338476,0.0113383448773922,0.00166759675672127,0,0.0111479499720973,0.00683452056593244,0.00797032465614024,0.00408364245149854,0.00396546630338443,0.00133932967862653,0,0,0.0018842530282638,0.00155598595016906,0,0.00542953747168696,0,0,0,0,0.00202869054262548,0,0.00148376719298822,0,0,0,0,0,0,0,0,0,0,0,0,0.00132619899550274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB27",0.333999593898322,0.00195436432396761,0.0129508363156425,0.0525520952308434,0.00955608010355593,0.0303687910860682,0.0080966521992944,0.0029696185182365,0.00557120739105053,0.00181476687225564,0,0.00170055077540039,0,0.00953069874869921,0.00192263763039671,0.00192263763039671,0.00171324145282875,0,0,0.00122465037183685,0,0,0.0013071397751212,0,0,0,0,0,0,0.00161806137211604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB28",0.313648851257074,0.00163796614869959,0.0157730073578479,0.0508202830474837,0.0138663800948114,0.0319620061185402,0.0121764150207562,0.0108071099863936,0.0106251137476492,0.00196729267595136,0,0.00158596722334405,0.00162929966114034,0.0102264553199234,0.0036572577500065,0.00239195056635496,0.00175929697452919,0,0,0.00179396292476622,0,0,0.00118730879561822,0,0,0,0,0,0,0.00218395486493279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB29",0.0701059050064185,0,0.0214136713735558,0.0758424261874198,0.0332557766367137,0.0286424903722721,0.0214698331193838,0.0340259948652118,0.0220715661103979,0.00188543003851091,0,0.00417201540436457,0.00507862644415918,0.00582477535301669,0.00478177150192555,0.00212612323491656,0.0129252246469833,0,0,0.00199775353016688,0.0011392811296534,0,0.00205391527599487,0,0,0,0,0.0013719512195122,0,0.00231065468549422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB30",0.403485808226009,0.00359956057312484,0.0282277228494184,0.0378031772744626,0.0245502497097757,0.0643012411471846,0.00196339667624991,0.0591122642170956,0.00208805678267848,0.00281264365129452,0.00107519341794638,0.00684072334026755,0.00455788514129444,0.0126530008024994,0.00497861300049085,0.00134009614410708,0.00117647975441959,0,0.00112194095785709,0.00201793547281241,0.00303859009419629,0.00529026326656226,0.00289055621781237,0.0034593179533927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130113986084816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB31",0.427426268861454,0.0030986674505193,0.0236441798941799,0.0701486870468352,0.00331300215559475,0.0204903978052126,0.0033497452478934,0.00552371154223006,0.00985327258475407,0.00351508916323731,0.00236992945326279,0.016222075249853,0,0.00727513227513227,0.0023270625122477,0.00453777189888301,0.0023270625122477,0,0,0.00399274936311973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB32",0.0581160895161827,0,0.0218559485652873,0.0465746649800748,0.00688586020942906,0.0146086758034296,0.0204816297803943,0.0140760678314296,0.00802240757825057,0,0.0014646719230001,0.0140427798331796,0.00749931046289339,0.00555434027942897,0.015321990051644,0.00364741352253597,0.00155026963278582,0,0,0.00518817229867894,0,0,0.00486004774450035,0,0,0,0,0.0029436101309645,0,0.00237771416071446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB33",0.301829495272465,0.00112457730391408,0.0156892248253379,0.0286042310751664,0.00400851073834182,0.0175935613051366,0.00543480390428162,0.00362450873212725,0.0116141014940813,0.00170058031323592,0.0074449368551803,0.00956086627717892,0,0.00744101846736179,0.0135341115251541,0.00161045739341006,0.00202972488999126,0,0,0.00231184881292441,0,0,0.00335805836046817,0,0,0,0,0,0,0.00174760096705811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WB34",0.165481385010588,0.00189713430172639,0.0239090195917572,0.0877193881998246,0.0145771697832652,0.0163717562848983,0.00898831467817937,0.00411729417374674,0.0124595577113382,0.00224579682204368,0.00171767565156308,0.0020765929518897,0.00175869477160041,0.00588624372535648,0.00703477908640165,0.00178945911162841,0.00256369500233296,0,0,0.00264573324240762,0,0,0.0025124211022863,0,0,0.00132799401120847,0,0,0,0.00116904492106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
