"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"N3","N3","N_Negative3","Negative",NA,"",NA,"Negative","Negative","Negative","Negative","Negative","Negative","",1244,NA,NA,NA,NA,NA,NA,NA,NA,1009,TRUE
"N4","N4","N_Negative4","Negative",NA,"",NA,"Negative","Negative","Negative","Negative","Negative","Negative","",3175,NA,NA,NA,NA,NA,NA,NA,NA,2570,TRUE
"N6","N6","N_Negative6","Negative",NA,"",NA,"Negative","Negative","Negative","Negative","Negative","Negative","",1270,NA,NA,NA,NA,NA,NA,NA,NA,1135,TRUE
"PCR-NEG-2","PCR-NEG-2","N_PCR_Negative2","Negative",NA,"",NA,"Negative","Negative","Negative","Negative","Negative","Negative","",2368,NA,NA,NA,NA,NA,NA,NA,NA,694,TRUE
"PCR-POS-1","PCR-POS-1","P_PCR_Positive1","Positive",NA,"",NA,"Positive","Positive","Positive","Positive","Positive","Positive","",267070,NA,NA,NA,NA,NA,NA,NA,NA,168224,FALSE
"PCR-POS-2","PCR-POS-2","P_PCR_Positive2","Positive",NA,"",NA,"Positive","Positive","Positive","Positive","Positive","Positive","",193237,NA,NA,NA,NA,NA,NA,NA,NA,122467,FALSE
"WB1","WB1","W_D5_Lab_water","Water",NA,"6/27/23",5,"Lab_water","Lab_water","None_labwater","Lab water","Lab water","Lab water","Sterile/autoclaved water from 06/22/23",63140,NA,NA,NA,NA,NA,NA,NA,NA,55630,FALSE
"WB10","WB10","W_D5_B_MMO.4","Water",NA,"6/27/23",5,"B_MMO.4","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",154756,20,10,2,2,10,0.5,1.06,2.612,113760,FALSE
"WB11","WB11","W_D5_B_MMO.5","Water",NA,"6/27/23",5,"B_MMO.5","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",150697,20,14,6,5,3,0.15,0.304,0.468,114299,FALSE
"WB12","WB12","W_D5_B_MMO+","Water",NA,"6/27/23",5,"B_MMO+","B_MMO+","MMO","Bamboo","Additional control","No larvae - mosquito microbes","",114495,NA,NA,NA,NA,NA,NA,NA,NA,77904,FALSE
"WB13","WB13","W_D5_B_EMO.1","Water",NA,"6/27/23",5,"B_EMO.1","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",193555,20,20,12,1,15,0.75,0.401,3.949,145516,FALSE
"WB14","WB14","W_D5_B_EMO.2","Water",NA,"6/27/23",5,"B_EMO.2","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",166592,20,18,5,5,0,0,0,0,125290,FALSE
"WB15","WB15","W_D5_B_EMO.3","Water",NA,"6/27/23",5,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",121161,20,15,12,8,4,0.2,0.621,0.621,91090,FALSE
"WB16","WB16","W_D5_B_EMO.4","Water",NA,"6/27/23",5,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",151569,20,16,11,9,3,0.15,0.308,0.308,112343,FALSE
"WB17","WB17","W_D5_B_EMO.5","Water",NA,"6/27/23",5,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",159928,20,15,0,0,18,0.9,3.16,4.085,119719,FALSE
"WB18","WB18","W_D5_B_EMO+","Water",NA,"6/27/23",5,"B_EMO+","B_EMO+","EMO","Bamboo","Additional control","No larvae - environmental microbes","",228989,NA,NA,NA,NA,NA,NA,NA,NA,169651,FALSE
"WB19","WB19","W_D5_B_ECO.1","Water",NA,"6/27/23",5,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",147700,20,14,7,7,0,0,0,0,127540,FALSE
"WB2","WB2","W_D5_Hatch_flask","Water",NA,"6/27/23",5,"Hatch_flask","Hatch_flask","None_hatch","Hatching flask","Hatching flask","Hatching flask","",1870,NA,NA,NA,NA,NA,NA,NA,NA,1444,FALSE
"WB20","WB20","W_D5_B_ECO.2","Water",NA,"6/27/23",5,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",135746,20,15,9,7,0,0,0,0,117519,FALSE
"WB21","WB21","W_D5_B_ECO.3","Water",NA,"6/27/23",5,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",124189,20,18,5,4,0,0,0,0,108760,FALSE
"WB22","WB22","W_D5_B_ECO.4","Water",NA,"6/27/23",5,"B_ECO.4","B_ECO","ECO","Bamboo","Experiment","E. coli only","",122674,20,17,7,6,0,0,0,0,105609,FALSE
"WB23","WB23","W_D5_B_ECO.5","Water",NA,"6/27/23",5,"B_ECO.5","B_ECO","ECO","Bamboo","Experiment","E. coli only","",100709,20,18,6,4,0,0,0,0,88320,FALSE
"WB24","WB24","W_D5_B_ECO+","Water",NA,"6/27/23",5,"B_ECO+","B_ECO+","ECO","Bamboo","Additional control","No larvae - E. coli","",75079,NA,NA,NA,NA,NA,NA,NA,NA,67284,FALSE
"WB25","WB25","W_D5_B_MEM.1","Water",NA,"6/27/23",5,"B_MEM.1","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",198167,20,16,2,1,1,0.05,0,0.227,150949,FALSE
"WB26","WB26","W_D5_B_MEM.2","Water",NA,"6/27/23",5,"B_MEM.2","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",204624,20,12,1,1,14,0.7,4.007,4.007,152315,FALSE
"WB27","WB27","W_D5_B_MEM.3","Water",NA,"6/27/23",5,"B_MEM.3","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",197298,20,15,0,0,17,0.85,4.53,5.122,157596,FALSE
"WB28","WB28","W_D5_B_MEM.4","Water",NA,"6/27/23",5,"B_MEM.4","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",147391,20,14,10,3,2,0.1,0.315,0.315,115387,FALSE
"WB29","WB29","W_D5_B_MEM.5","Water",NA,"6/27/23",5,"B_MEM.5","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",162113,20,17,0,0,0,0,0,0,124640,FALSE
"WB3","WB3","W_D5_B_AHK+","Water",NA,"6/27/23",5,"B_AHK+","B_AHK+","AHK","Bamboo","Additional control","No larvae - all heat-killed microbes","",9849,NA,NA,NA,NA,NA,NA,NA,NA,7122,FALSE
"WB30","WB30","W_D5_B_MEM+","Water",NA,"6/27/23",5,"B_MEM+","B_MEM+","MEM","Bamboo","Additional control","No larvae - mosquito & environmental microbes","",177379,NA,NA,NA,NA,NA,NA,NA,NA,129030,FALSE
"WB31","WB31","W_D5_B_ALL.1","Water",NA,"6/27/23",5,"B_ALL.1","B_ALL","ALL","Bamboo","Experiment","All live microbes","",210029,20,11,0,0,12,0.6,4.096,4.096,164708,FALSE
"WB32","WB32","W_D5_B_ALL.2","Water",NA,"6/27/23",5,"B_ALL.2","B_ALL","ALL","Bamboo","Experiment","All live microbes","",266325,20,18,4,4,0,0,0,0,210286,FALSE
"WB33","WB33","W_D5_B_ALL.3","Water",NA,"6/27/23",5,"B_ALL.3","B_ALL","ALL","Bamboo","Experiment","All live microbes","",332097,20,10,0,0,9,0.45,3.642,3.642,255207,FALSE
"WB34","WB34","W_D5_B_ALL.4","Water",NA,"6/27/23",5,"B_ALL.4","B_ALL","ALL","Bamboo","Experiment","All live microbes","",238232,20,16,2,2,2,0.1,0.13,0.299,195269,FALSE
"WB35","WB35","W_D5_B_ALL.5","Water",NA,"6/27/23",5,"B_ALL.5","B_ALL","ALL","Bamboo","Experiment","All live microbes","",162232,20,13,0,0,13,0.65,3.369,3.369,126171,FALSE
"WB36","WB36","W_D5_B_ALL+","Water",NA,"6/27/23",5,"B_ALL+","B_ALL+","ALL","Bamboo","Additional control","No larvae - all live microbes","",86077,NA,NA,NA,NA,NA,NA,NA,NA,65390,FALSE
