Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Num_larvae_d00,Num_larvae_d08,Num_larvae_d34,Num_larvae_d40,Total_pupae,Proportion_pupated,Biomass_day30,Biomass_day40,16S_raw_reads,SSU_raw_reads,metagenomes,MG_raw_reads,Notes
LB1,L_D8_B_larvae,Larvae,5,6/30/23,8,B_larvae,B_larvae,None_larvae,Bamboo,Additional control,Larvae & food only,20,12,11,2,1,0.05,0.197,0.197,57253,22810,no,NA,
LB18,L_D8_B_MEM.1,Larvae,5,6/30/23,8,B_MEM.1,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,20,16,2,1,1,0.05,0,0.227,64329,71110,yes,,
LB19,L_D8_B_MEM.2,Larvae,5,6/30/23,8,B_MEM.2,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,20,12,1,1,14,0.7,4.007,4.007,46890,51285,yes,,
LB20,L_D8_B_MEM.3,Larvae,5,6/30/23,8,B_MEM.3,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,20,15,0,0,17,0.85,4.53,5.122,46052,41542,yes,,
LB21,L_D8_B_MEM.4,Larvae,5,6/30/23,8,B_MEM.4,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,20,14,10,3,2,0.1,0.315,0.315,54131,40832,yes,,
LB22,L_D8_B_MEM.5,Larvae,5,6/30/23,8,B_MEM.5,B_MEM,MEM,Bamboo,Experiment,Mosquito & environmental microbes,20,17,0,0,0,0,0,0,69479,41975,yes,,
LB3,L_D8_B_MMO.1,Larvae,5,6/30/23,8,B_MMO.1,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,16,8,5,4,0.2,0.288,0.538,69866,25402,yes,,
LB4,L_D8_B_MMO.2,Larvae,5,6/30/23,8,B_MMO.2,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,17,4,4,0,0,0,0,55250,32725,yes,,
LB5,L_D8_B_MMO.3,Larvae,5,6/30/23,8,B_MMO.3,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,10,0,0,11,0.55,3.737,3.737,62607,1572,yes,,
LB6,L_D8_B_MMO.4,Larvae,5,6/30/23,8,B_MMO.4,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,10,2,2,10,0.5,1.06,2.612,79263,45563,no,NA,
LB7,L_D8_B_MMO.5,Larvae,5,6/30/23,8,B_MMO.5,B_MMO,MMO,Bamboo,Experiment,Mosquito microbes only,20,14,6,5,3,0.15,0.304,0.468,83117,25070,yes,,
LL2,L_D8_L_AHK.1,Larvae,5,6/30/23,8,L_AHK.1,L_AHK,AHK,Larval food,Experiment,All heat-killed microbes,20,7,0,0,19,0.95,15.548,15.548,51522,3547,no,NA,
LL23,L_D8_L_ALL.1,Larvae,5,6/30/23,8,L_ALL.1,L_ALL,ALL,Larval food,Experiment,All live microbes,20,7,0,0,6,0.3,4.235,4.235,55042,6465,no,NA,
LL24,L_D8_L_ALL.2,Larvae,5,6/30/23,8,L_ALL.2,L_ALL,ALL,Larval food,Experiment,All live microbes,20,2,0,0,7,0.35,5.262,5.262,52771,2081,no,NA,
LL25,L_D8_L_ALL.3,Larvae,5,6/30/23,8,L_ALL.3,L_ALL,ALL,Larval food,Experiment,All live microbes,20,6,0,0,7,0.35,5.604,5.604,66477,43,no,NA,
LL26,L_D8_L_ALL.4,Larvae,5,6/30/23,8,L_ALL.4,L_ALL,ALL,Larval food,Experiment,All live microbes,20,1,0,0,1,0.05,0.571,0.571,97749,8856,no,NA,
LL27,L_D8_L_ALL.5,Larvae,5,6/30/23,8,L_ALL.5,L_ALL,ALL,Larval food,Experiment,All live microbes,20,2,0,0,0,0,0,0,99386,48367,no,NA,
LL13,L_D8_L_ECO.1,Larvae,5,6/30/23,8,L_ECO.1,L_ECO,ECO,Larval food,Experiment,E. coli only,20,10,0,0,7,0.35,3.736,3.736,51457,47796,no,NA,
LL14,L_D8_L_ECO.2,Larvae,5,6/30/23,8,L_ECO.2,L_ECO,ECO,Larval food,Experiment,E. coli only,20,12,0,0,18,0.9,10.588,10.588,90315,84375,no,NA,
LL15,L_D8_L_ECO.3,Larvae,5,6/30/23,8,L_ECO.3,L_ECO,ECO,Larval food,Experiment,E. coli only,20,12,0,0,14,0.7,7.747,7.747,83512,50194,no,NA,
