,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K14534,0,0,0,110,170,14,33,53,665,167,172,1090,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13,80,44,115,41,92,75,0,0,0,5
K14540,0,5,0,164,197,206,0,173,0,119,185,21,0,10,0,160,297,92,34,164,4,23,69,66,0,1493,764,778,819,559,444,232,865,694,2238,505,1736,2566,2349,1652,3379,2429,2383,2347,4893,4899,4320,4552
K14541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
K14553,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14555,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,40,0,0,0,0,31,0,0,8,0,0,0,0,0,0,0
K14558,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
K14564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,67,70,0,0,0,0,0
K14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14571,23,86,69,18,51,38,10,20,64,48,0,0,0,0,0,12,8,106,16,0,0,0,0,18,0,0,154,199,9,250,242,96,341,32,98,734,300,531,566,255,670,301,411,200,18,0,40,22
K14572,15,122,30,278,359,494,68,66,57,0,799,61,78,10,0,1303,1058,55,260,214,0,0,0,142,313,4296,1016,1346,296,1237,811,372,1301,3923,3043,2299,2322,2810,1971,1642,2846,1449,1925,1055,4344,4270,4249,3171
K14573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
K14575,0,14,0,8,0,0,0,0,0,45,0,16,0,12,0,0,16,22,0,0,0,0,0,8,0,32,11,70,66,58,116,17,96,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
K14578,0,0,0,0,0,4,0,7,30,19,36,52,0,0,0,20,14,29,0,7,0,0,0,0,0,83,71,81,58,114,100,80,97,86,120,81,220,278,208,115,406,170,209,164,407,499,488,601
K14579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
K14581,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,43,11,22,10,9,15,9,4,0,80,69,0,57,15,12,38,65,0,0,0,61,0,0
K14583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14584,0,40,42,184,337,284,44,103,1036,520,296,1245,12,71,0,420,374,44,0,0,0,9,0,73,242,663,351,417,308,239,283,224,1279,993,391,732,323,317,74,106,233,103,135,78,0,97,383,10
K14585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,0,0,321,174,0,0,4,0,0,0,0,0,0,0,0,0,0
K14587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14588,203,191,216,557,498,562,69,576,707,844,528,1775,211,41,71,192,369,76,190,185,344,160,43,374,23,2966,291,280,409,231,561,301,449,1852,3673,845,487,440,392,365,777,791,1507,709,1089,1228,999,2458
K14591,15,0,0,198,136,207,30,47,20,15,353,47,13,0,0,0,0,0,0,0,0,0,0,60,0,33,80,101,115,66,140,75,97,132,685,102,203,185,271,201,317,292,569,242,0,73,0,0
K14595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
K14596,0,42,0,80,0,0,15,0,5,0,125,9,48,0,0,0,0,0,0,0,0,0,0,0,13,23,41,67,32,0,61,58,60,1458,461,595,0,132,166,10,0,0,26,8,0,41,0,0
K14597,15,6,0,53,205,112,14,0,351,255,131,557,0,0,0,1860,1758,31,137,135,0,0,0,68,299,1216,1406,1822,1822,1541,2291,1349,3048,1118,1370,955,879,1495,691,187,645,446,780,12,0,67,0,824
K14598,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
K14607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14611,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14623,145,0,0,56,101,0,191,0,25,0,52,7,145,45,50,755,1133,66,144,52,0,0,0,32,29,238,428,652,261,644,625,380,1194,440,706,211,1116,1419,1484,1064,1822,1210,1728,1215,1489,1368,1115,1736
K14629,1491,1435,1337,332,2336,1949,361,221,615,600,617,1879,378,0,4,0,113,0,0,0,0,0,0,0,108,466,12,4,80,0,14,0,9,492,559,180,0,0,0,0,0,0,7,0,0,12,0,0
K14630,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,0,12,13,0,0,0,0,0,0,0,48,0,0,0,0,34,0,0,0,0
K14631,0,10,14,0,0,0,0,0,33,112,8,293,0,0,0,0,0,0,0,0,0,0,0,0,0,34,63,31,48,34,8,0,35,208,0,170,8,8,0,0,0,0,0,0,0,0,0,0
K14633,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,28,62,20,63,0,39,23,66,0,201,363,87,110,230,261,263,193,0,24,0,8
K14634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0
K14638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,16,66,32,72,48,59,14,136,0,131,0,0,0,0,0,44,53,63,7,0,0,0,0
K14640,1248,463,605,844,2122,1300,337,479,1813,792,1123,1814,184,101,8,1346,2202,79,149,175,0,0,0,508,931,7423,5157,7001,4896,5666,11241,7634,8213,9256,7101,4784,10494,10595,7887,9167,11108,10209,12073,9178,7704,8037,7194,6214
K14644,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14645,3226,2012,2127,913,4632,3224,798,664,246,918,727,861,773,0,0,1593,1570,26,310,224,0,10,0,102,475,6241,3225,3367,2901,3101,4292,3405,6235,5696,5342,3698,4760,3892,3224,4009,4439,3279,4206,2723,4514,5291,4262,2270
K14647,4359,4292,3950,737,6682,5807,1335,697,945,6,354,864,1303,5,0,0,23,0,0,10,0,0,0,0,0,356,0,76,20,50,51,0,35,406,30,85,5,192,0,38,76,0,71,0,0,0,27,0
K14648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14652,3382,2526,2398,1900,5868,3993,1265,917,3162,2049,1952,4051,948,38,6,2716,3780,156,413,627,0,122,108,367,615,10297,6499,8529,6232,6995,10173,7759,10520,10328,9444,6215,9892,10731,8540,9825,11929,9317,11295,8601,11583,12219,9977,9845
K14654,0,0,15,47,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,19,76,116,123,98,218,30,237,13,0,57,19,0,26,0,0,0,27,7,0,0,0,0
K14656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,147,0,0,180,0,0,0,0,0,0
K14657,111,403,345,565,792,621,121,86,643,835,1521,1239,70,5,8,67,13,186,0,33,0,0,0,6,0,1447,4434,6431,4505,5300,7683,6278,10426,3037,2982,1405,2009,3601,2320,1884,4574,2918,3142,2298,1317,2135,2221,1805
K14659,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,75,72,43,0,227,0,0,0,0,11,0,0,4,0,0,280,0,0,0,0
K14660,183,51,68,226,167,226,66,16,107,136,94,407,14,140,4,2580,3262,56,418,429,0,9,0,164,673,805,153,132,169,171,85,93,556,724,185,187,0,47,0,0,19,0,0,0,0,67,55,10
K14661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
K14663,0,0,0,0,23,0,0,13,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14664,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,29,77,12,23,0,0,27,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
K14665,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72,128,101,39,166,95,83,249,819,100,181,221,220,221,305,313,776,318,0,70,0,7
K14666,0,0,0,0,0,0,0,0,0,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,139,121,87,331,72,88,0,40,6,0,0,0,0,0,0,0,0,0,0,0,0
K14667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14670,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14672,11,0,5,0,0,429,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,221,638,116,260,361,392,990,6,31,0,0,8,0,0,0,0,0,0,0,0,0,0
K14673,0,19,0,112,0,0,0,25,0,0,507,14,0,0,11,0,0,0,0,6,0,0,0,55,0,71,25,0,37,68,36,0,34,54,0,0,38,65,140,102,27,33,88,56,19,0,5,0
K14676,0,0,0,25,0,0,0,0,0,11,27,0,0,0,0,683,727,0,215,0,0,0,13,45,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14677,0,0,25,0,67,23,0,12,75,426,182,0,16,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,20,19,0,10,68,74,54,0,0,0,0,0,0,0,0,0,0,0,0
K14680,0,0,0,0,160,0,20,53,329,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14682,135,162,195,475,281,420,58,411,466,555,431,1204,182,26,51,326,560,160,229,461,280,196,142,467,38,4169,3315,5307,3748,4731,7587,6570,5192,3863,6107,1930,5337,4888,4647,5262,6634,6253,8103,6556,6938,7415,6524,8401
K14683,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,165,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,18,0,14,227,620,495,161,581,0,454,302,0,0,0,0
K14689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,112,205,118,112,261,234,67,6,0,10,190,511,169,487,627,95,278,189,0,0,0,0
K14696,1415,1344,1154,264,2363,1792,422,210,501,522,509,1539,512,26,0,29,69,7,0,18,0,0,0,0,120,4848,2177,2723,1933,2544,5306,3890,2648,4340,3486,2543,4360,3154,1782,1973,2513,3129,4045,3395,4115,3971,3486,2068
K14698,0,0,8,97,299,43,63,31,229,389,152,538,32,0,0,7,0,0,0,0,0,0,0,0,0,231,165,0,197,72,18,15,267,74,246,66,5,7,0,0,0,0,0,0,0,0,0,0
K14699,0,0,0,17,171,0,13,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
K14707,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14708,0,11,0,0,14,0,0,0,0,7,151,0,0,0,0,10,0,0,0,0,0,0,0,6,0,8,0,14,0,14,7,0,38,0,11,0,0,8,11,0,10,0,0,0,0,0,0,0
K14709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399,662,575,187,519,316,165,776,3010,2549,1997,1449,1713,1143,897,1253,704,1040,508,2585,2654,2632,1455
K14715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,104,61,84,192,69,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
K14727,392,198,96,528,1538,668,67,213,407,572,960,1264,99,0,0,4,10,26,0,11,0,0,0,82,6,3481,1295,2307,1262,1520,2061,1321,2911,3739,2806,2500,1599,2209,1193,1137,1740,851,1063,443,2744,2418,2278,1606
K14728,0,44,0,5,29,27,0,0,49,65,163,0,46,0,0,21,0,24,0,0,0,0,0,11,0,0,47,78,36,103,107,68,144,0,18,30,204,530,430,113,599,289,433,246,0,0,0,114
K14729,33,8,0,56,19,42,32,12,0,28,29,0,16,0,0,24,14,48,6,8,0,0,0,19,10,122,67,39,32,67,34,32,66,469,110,417,130,130,92,208,157,195,169,97,0,53,12,10
K14730,0,14,0,0,6,0,0,0,44,52,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,36,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14731,445,729,737,867,764,955,437,391,1829,1446,431,1597,257,0,0,14,22,50,4,0,0,0,0,0,0,5656,2282,3475,2536,3269,5287,4263,3392,5212,4469,3473,4970,3487,3325,4644,3930,3779,4859,3892,3481,3805,3326,1781
K14733,3974,4522,2854,1267,7044,7002,1454,821,4256,2568,1274,6984,1419,172,0,1187,2229,134,273,209,0,0,0,148,389,1601,1948,2806,2751,2457,5420,3595,2735,2111,2142,1430,4708,3332,2766,4350,3416,4245,5753,3992,10,181,45,42
K14742,1823,1258,1386,1112,3191,2493,512,934,1502,1118,1085,2387,540,97,7,1616,2118,106,343,340,129,100,51,337,503,6249,3609,4582,3501,3936,5627,3883,5696,5579,6310,3337,5891,6122,4995,5992,7218,5805,7144,5203,6308,6509,5668,6086
K14743,1565,1541,1403,313,2475,2032,438,285,310,207,265,597,395,11,0,447,42,0,0,0,0,0,0,0,9,281,36,11,104,31,10,42,16,149,60,148,0,0,0,0,19,0,20,0,0,0,0,0
K14744,29,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,55,0,0,0,0,0,4,7,98,143,102,96,163,88,141,871,526,422,125,145,129,67,250,212,393,179,0,74,3,0
K14747,0,0,17,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,26,0,25,0,6,0,0,70,33,231,18,0,0,0,0,18,0,0,0,0,0,0,16
K14749,0,0,0,28,36,0,22,22,117,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,19,0,7,14,29,20,379,96,22,0,0,0,0,15,0,0,0,0,13,0,0
K14750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,148,72,15,6,0,0,0,0,0,0,0,0,0,0,0
K14751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,162,0,0,0,0,0,0,0,0,0,0,0,0,0
K14759,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,302,55,23,65,15,13,223,0,0,0,0,422,104,0,116,0,18,0,0,0,0,17
K14760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
K14761,539,501,488,279,980,862,168,291,224,224,258,327,212,7,15,63,186,19,21,101,59,61,33,95,13,713,356,356,407,277,392,189,523,453,1288,278,657,1235,698,587,1098,853,1117,886,1390,1570,1123,1521
K14762,70,58,93,183,95,194,33,198,168,173,166,473,57,8,14,39,100,13,50,79,91,64,9,106,10,645,54,47,105,55,78,65,53,430,1018,246,184,119,148,113,236,235,511,262,305,277,265,710
K14777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,17,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
K14778,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
K14792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
K14809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,191,0
K14810,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,28,0,0,0,0,46,0,0,0,7,0,0,0,0,3,0,0,9,0,0,0,0
K14811,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14812,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14819,0,0,0,0,32,0,0,48,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0,37,15,0,0,0,0
K14826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
K14837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
K14842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,150,88,0,0,0,0,124,102,0,0,0,0,0,199
K14858,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,0,38,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14940,0,0,0,116,224,204,0,168,0,147,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14941,94,50,65,0,17,0,0,0,7,28,55,396,9,0,0,0,0,0,0,0,0,0,0,0,0,0,384,402,382,386,610,512,805,0,160,16,70,212,107,134,100,142,248,76,0,0,0,0
K14949,0,9,0,0,0,9,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14951,44,118,68,103,617,411,105,46,184,321,114,809,17,0,0,0,0,0,0,0,0,0,0,0,0,1822,1319,1786,1547,1647,2611,1263,3953,842,997,959,2150,1664,1096,2091,2047,1498,1903,1347,7,87,5,434
K14952,2248,2086,1899,459,3626,2865,650,364,543,801,571,1567,700,0,0,0,0,0,0,0,0,0,0,0,0,338,46,24,107,32,47,0,27,190,134,119,0,0,0,0,0,0,0,0,0,0,0,0
K14956,668,652,524,115,1033,860,159,77,34,0,11,0,180,0,0,0,18,0,0,0,0,0,0,0,17,0,14,15,53,21,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K14974,67,19,55,39,92,64,15,26,47,0,83,17,20,0,0,23,13,6,29,0,0,0,0,60,0,57,39,200,83,122,188,218,156,211,439,81,182,367,236,378,337,519,409,177,8,118,0,21
K14977,119,205,188,472,495,533,77,288,1336,738,902,1310,202,111,47,0,47,34,0,0,0,0,0,293,75,123,165,123,172,121,174,101,442,1184,397,375,364,444,193,291,278,440,809,312,15,100,31,0
K14978,0,0,0,1006,468,828,160,987,1000,1022,959,2770,0,0,0,248,812,45,350,423,581,288,108,0,0,3542,23,30,2,0,50,12,49,2276,3579,890,12,0,0,0,365,257,548,357,1758,1657,1567,4004
K14979,57,72,105,472,409,477,36,487,636,511,443,1737,90,9,6,153,279,63,184,143,301,129,36,160,0,1951,218,302,351,243,238,99,204,1304,2081,545,1099,776,745,1001,1271,1091,1326,1002,1358,1065,1382,2972
K14980,1996,1082,1202,1825,3705,2435,921,963,2852,2088,1539,4072,410,174,56,3522,4385,126,553,542,21,25,9,466,1002,8038,2076,2304,1301,1931,2479,1513,4205,6955,5634,4298,2862,3369,2229,1736,2504,1292,1943,933,11870,5504,10086,6095
K14981,1019,569,626,890,1883,1160,403,429,1267,638,696,1426,187,89,17,1789,2091,70,324,314,3,15,6,172,474,4072,1094,1340,798,1093,1214,845,2076,3638,2736,2268,1305,1700,1126,875,1294,651,974,594,2554,2828,2327,1304
K14982,15,0,0,199,338,336,4,252,0,222,214,0,0,0,0,0,9,0,8,0,0,0,0,10,0,476,401,82,12,102,214,34,522,385,252,156,428,1340,631,138,265,54,474,70,159,228,12,374
K14983,0,0,0,103,188,112,0,122,0,105,141,0,0,0,0,0,0,0,0,0,0,26,0,0,0,64,293,558,119,126,520,322,155,152,286,162,303,297,401,522,1104,299,302,292,690,334,623,1096
K14986,3341,1629,1846,2527,4397,3624,1446,1370,3687,2643,2617,4660,593,157,37,5402,10497,264,1497,1259,224,127,144,642,1612,13210,6019,8173,5665,6001,7775,6326,13024,11439,13215,6663,5169,8201,5782,4669,8432,5882,5973,5524,12485,14011,12110,10065
K14987,1925,835,1037,1564,2836,2140,525,814,2031,1337,1636,2701,415,151,12,6414,7646,234,1029,964,177,94,69,389,1090,9617,3252,4541,2479,3074,3910,3009,6749,9066,7862,6242,4145,5696,3914,3443,5904,3562,3926,3282,8606,9504,8750,6762
K14989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0
K14998,864,468,503,949,1622,1128,371,327,1947,989,1458,2668,172,173,23,61,143,227,43,40,0,0,0,150,125,8564,2988,3918,2197,3002,2881,2104,5316,7572,6476,4939,4544,6015,4045,3149,5770,3239,3904,2640,7874,7626,7565,5466
K15001,0,0,0,24,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,0,10,0,0,0,0,0,12,42,41,0,0,0,0,149,0,0,0,7
K15003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
K15004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,19,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K15009,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K15011,1750,858,1014,1645,2809,1820,637,581,2935,1635,1471,2725,375,189,43,2960,3765,172,415,610,0,10,77,353,741,9597,2977,3215,2397,2613,2342,1709,4845,9092,7805,5236,5193,7090,5174,3607,7039,4521,5044,3895,11491,11765,10758,8516
