,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K03478,1541,1264,1278,573,2413,2254,532,352,1171,600,688,1172,389,102,20,1806,2294,141,279,345,0,66,33,179,357,5391,2558,4177,2452,3072,5522,3916,5272,5417,5405,3645,4595,4510,3939,4030,5873,4670,5737,4024,7274,7324,6401,6514
K03480,0,0,0,0,19,0,0,0,8,0,20,16,0,0,0,150,488,0,0,20,0,53,5,0,0,0,0,0,0,0,0,0,4,48,7,19,66,60,132,35,259,310,322,134,75,24,47,139
K03481,0,0,0,623,573,762,70,607,341,632,665,905,0,0,0,91,308,14,126,304,167,127,32,33,0,1685,10,0,14,38,15,0,10,938,2565,283,302,238,691,171,781,620,563,567,2911,3348,1497,3909
K03482,67,87,113,282,140,267,43,335,249,370,257,796,108,19,28,71,152,7,127,123,143,85,25,199,0,1018,39,77,53,81,120,92,65,635,1248,280,249,172,229,192,355,413,950,364,471,551,433,1186
K03483,0,0,0,315,471,402,0,397,0,296,344,7,0,0,0,68,261,0,0,8,6,4,0,0,0,0,0,0,55,0,0,10,13,12,0,0,234,126,440,198,404,355,556,239,344,439,87,216
K03484,0,0,17,355,600,557,0,394,115,676,576,436,0,4,0,99,231,15,34,168,10,15,88,35,0,1114,509,402,649,192,386,270,387,612,2835,412,1232,1345,1736,1262,1878,2112,2744,1791,3923,4706,3179,3504
K03485,114,117,185,325,207,325,42,345,386,432,278,966,142,20,24,125,179,11,109,154,189,139,35,240,2,1320,132,128,156,59,191,90,119,816,1546,414,348,215,287,220,435,483,1109,482,625,579,510,1458
K03486,0,0,0,0,0,0,0,0,0,0,38,27,0,0,0,68,183,0,15,102,0,93,70,16,0,578,0,17,18,0,3,0,0,248,1148,47,279,623,490,112,569,450,346,396,2047,2336,1046,2220
K03487,287,210,370,684,424,681,162,736,710,801,591,2009,291,22,68,216,471,30,228,300,470,213,78,489,15,2914,364,322,637,177,287,228,318,2081,4830,990,764,789,959,587,1264,1365,2312,1175,1336,1458,1196,3141
K03488,3016,2924,2561,943,4709,4081,869,735,825,1575,869,2301,943,24,23,107,271,0,84,118,191,137,4,203,6,2002,415,299,704,226,400,177,446,1782,2589,886,624,749,858,728,1219,1312,1646,1207,747,778,496,1571
K03489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,29,0,0,0
K03490,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,9,0,463,486,726,599,767,455,931,24,445,216,1810,1464,1128,2230,2274,1574,2272,1413,0,0,0,269
K03491,2745,2769,2317,811,4609,4010,813,845,700,1192,1152,1886,883,15,14,45,280,9,0,41,0,0,22,0,9248,477,101,0,106,90,134,7,76,361,170,159,28,77,15,49,180,178,176,99,253,154,124,192
K03492,0,12,0,0,0,0,0,0,10,0,62,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,87,93,124,104,88,71,66,44,184,97,258,173,253,230,251,303,606,282,41,133,21,59
K03495,2910,1535,1705,2926,5556,3740,1729,2142,3448,2362,2454,5079,793,328,91,4323,6081,420,842,1212,471,561,228,1209,1228,18040,9807,12878,9472,10223,14975,10232,16859,16875,17815,10127,17088,17381,14444,16373,20460,15705,20440,15306,20590,20644,17836,18592
K03496,6294,5769,5338,4504,11881,9461,2355,2882,5788,4552,3868,9914,2273,798,164,16228,19426,1235,2622,3004,675,548,367,1949,4776,46105,19927,27567,16324,22482,31931,18642,33909,42880,44100,26205,31420,32515,26651,26268,37124,27795,34937,26273,47215,46338,42231,40102
K03497,3257,3447,3055,4752,9737,8103,2030,3770,10098,8023,5382,14920,1489,1157,183,17568,22086,1038,2948,2557,929,717,266,2371,5985,34980,16994,22281,15129,18019,27380,18779,36259,30261,32116,15586,18383,20844,15468,14747,24294,16685,23175,16484,27113,25782,26225,27442
K03498,3164,2889,2836,2257,4647,4313,1027,1810,4443,3505,2441,6308,1296,106,98,335,836,47,362,411,577,616,149,1095,149,4737,2183,3044,2839,2650,5912,3998,3789,4988,5516,2149,3601,2857,2756,4350,4831,4171,6075,4301,1883,2037,1658,4415
K03499,1559,1571,1524,1231,2529,2322,463,992,2135,1926,1458,3327,742,89,95,397,438,27,373,236,325,341,53,681,73,2392,1186,1808,1592,1523,3473,2255,2083,3669,3282,1383,2433,1783,2031,3129,2996,2613,4030,2853,1008,1087,792,2380
K03500,4785,3000,3298,3375,8302,6018,1527,2118,5821,3934,3432,7639,1464,373,95,5239,6813,450,910,1351,373,264,192,982,1304,20327,9151,11933,8938,10324,13634,10378,16841,17184,19024,10366,14920,17047,12984,13613,18667,14317,17927,13267,22694,23816,20856,20072
K03501,2244,1848,1560,1425,3828,3016,717,1040,1913,1473,1399,2788,687,134,51,1688,2264,194,351,408,177,204,86,419,457,7188,3417,4432,3317,3743,5814,3878,6252,6845,7044,4141,6167,6649,5336,5912,7464,5676,7373,5556,8926,8261,8215,7315
K03502,25,39,25,39,55,261,17,30,114,0,38,84,49,0,0,207,453,34,59,471,0,0,53,84,15,7693,3851,5841,4466,5147,8442,4926,5872,9787,11273,5588,9562,9025,7158,8884,9250,8225,11086,8318,8885,10216,8111,6062
